time,Channel 1,Pin 1 Duty Cycle,Pin 1 Power (W)
2026-03-24 18:57:45+00,281.188,80.49999999999642,20.285999999999095
2026-03-24 18:57:50+00,281.17600000000004,82.94999999999419,20.903399999998538
2026-03-24 18:57:55+00,281.15999999999997,85.04999999999228,21.432599999998054
2026-03-24 18:58:00+00,281.15,87.14999999999634,21.96179999999908
2026-03-24 18:58:05+00,281.14,88.19999999999936,22.22639999999984
2026-03-24 18:58:10+00,281.134,89.94999999999777,22.667399999999436
2026-03-24 18:58:15+00,281.13599999999997,89.59999999999809,22.57919999999952
2026-03-24 18:58:20+00,281.14,89.24999999999841,22.490999999999598
2026-03-24 18:58:25+00,281.14399999999995,88.54999999999905,22.314599999999757
2026-03-24 18:58:30+00,281.158,86.79999999999666,21.873599999999158
2026-03-24 18:58:35+00,281.17,84.34999999999292,21.256199999998216
2026-03-24 18:58:40+00,281.188,81.19999999999578,20.462399999998937
2026-03-24 18:58:45+00,281.204,78.04999999999865,19.668599999999657
2026-03-24 18:58:50+00,281.22400000000005,75.24999999999523,18.962999999998797
2026-03-24 18:58:55+00,281.236,72.44999999999379,18.257399999998434
2026-03-24 18:59:00+00,281.254,69.99999999999602,17.639999999998995
2026-03-24 18:59:05+00,281.262,67.89999999999793,17.11079999999948
2026-03-24 18:59:10+00,281.27,66.4999999999992,16.7579999999998
2026-03-24 18:59:15+00,281.27599999999995,65.10000000000048,16.40520000000012
2026-03-24 18:59:20+00,281.27799999999996,65.10000000000048,16.40520000000012
2026-03-24 18:59:25+00,281.274,66.14999999999952,16.669799999999878
2026-03-24 18:59:30+00,281.264,67.19999999999857,16.93439999999964
2026-03-24 18:59:35+00,281.254,68.94999999999698,17.375399999999235
2026-03-24 18:59:40+00,281.24,71.39999999999475,17.992799999998674
2026-03-24 18:59:45+00,281.226,73.84999999999252,18.610199999998116
2026-03-24 18:59:50+00,281.21200000000005,76.29999999999626,19.227599999999057
2026-03-24 18:59:55+00,281.198,78.74999999999801,19.844999999999498
2026-03-24 19:00:00+00,281.18600000000004,81.19999999999578,20.462399999998937
2026-03-24 19:00:05+00,281.17400000000004,82.59999999999451,20.81519999999862
2026-03-24 19:00:10+00,281.16400000000004,85.04999999999427,21.43259999999856
2026-03-24 19:00:15+00,281.154,86.79999999999666,21.873599999999158
2026-03-24 19:00:20+00,281.154,86.79999999999666,21.873599999999158
2026-03-24 19:00:25+00,281.15,87.84999999999968,22.13819999999992
2026-03-24 19:00:30+00,281.15200000000004,86.79999999999666,21.873599999999158
2026-03-24 19:00:35+00,281.16400000000004,85.39999999999395,21.52079999999848
2026-03-24 19:00:40+00,281.17,83.99999999999324,21.167999999998294
2026-03-24 19:00:45+00,281.182,81.89999999999515,20.638799999998774
2026-03-24 19:00:50+00,281.198,79.44999999999737,20.02139999999934
2026-03-24 19:00:55+00,281.21,77.3499999999973,19.49219999999932
2026-03-24 19:01:00+00,281.226,73.84999999999252,18.610199999998116
2026-03-24 19:01:05+00,281.242,71.74999999999443,18.080999999998596
2026-03-24 19:01:10+00,281.252,69.99999999999602,17.639999999998995
2026-03-24 19:01:15+00,281.26,68.24999999999761,17.198999999999398
2026-03-24 19:01:20+00,281.27,66.84999999999889,16.84619999999972
2026-03-24 19:01:25+00,281.274,65.45000000000016,16.493400000000044
2026-03-24 19:01:30+00,281.274,65.79999999999984,16.58159999999996
2026-03-24 19:01:35+00,281.26599999999996,67.54999999999825,17.02259999999956
2026-03-24 19:01:40+00,281.26,67.89999999999793,17.11079999999948
2026-03-24 19:01:45+00,281.25,69.99999999999602,17.639999999998995
2026-03-24 19:01:50+00,281.236,72.09999999999411,18.169199999998515
2026-03-24 19:01:55+00,281.22200000000004,74.1999999999922,18.69839999999804
2026-03-24 19:02:00+00,281.208,76.99999999999761,19.4039999999994
2026-03-24 19:02:05+00,281.198,79.09999999999769,19.93319999999942
2026-03-24 19:02:10+00,281.188,81.89999999999515,20.638799999998774
2026-03-24 19:02:15+00,281.172,83.64999999999355,21.079799999998375
2026-03-24 19:02:20+00,281.16200000000003,85.04999999999427,21.432599999998555
2026-03-24 19:02:25+00,281.15600000000006,86.0999999999953,21.697199999998816
2026-03-24 19:02:30+00,281.15400000000005,87.49999999999801,22.0499999999995
2026-03-24 19:02:35+00,281.15199999999993,87.14999999999634,21.961799999999077
2026-03-24 19:02:40+00,281.156,86.44999999999499,21.785399999998738
2026-03-24 19:02:45+00,281.16200000000003,85.39999999999196,21.520799999997976
2026-03-24 19:02:50+00,281.172,84.34999999999292,21.256199999998213
2026-03-24 19:02:55+00,281.182,82.24999999999483,20.726999999998696
2026-03-24 19:03:00+00,281.192,79.79999999999706,20.109599999999254
2026-03-24 19:03:05+00,281.21,76.99999999999761,19.4039999999994
2026-03-24 19:03:10+00,281.22200000000004,75.24999999999324,18.962999999998296
2026-03-24 19:03:15+00,281.238,72.79999999999347,18.345599999998356
2026-03-24 19:03:20+00,281.252,69.99999999999602,17.639999999999
2026-03-24 19:03:25+00,281.258,68.24999999999761,17.198999999999394
